round118 result: own hp -422 vs opp hp -285, you lose, hp_diff: -137, avg_loss: 1.0308, Total reward: -16.22
round119 result: own hp -531 vs opp hp -364, you lose, hp_diff: -167, avg_loss: 0.8884, Total reward: -14.549999999999999
round120 result: own hp -591 vs opp hp -174, you lose, hp_diff: -417, avg_loss: 0.9907, Total reward: -41.79999999999999
round121 result: own hp -645 vs opp hp -223, you lose, hp_diff: -422, avg_loss: 0.9259, Total reward: -40.17000000000004
round122 result: own hp -389 vs opp hp -317, you lose, hp_diff: -72, avg_loss: 1.0702, Total reward: -9.839999999999998
round123 result: own hp -604 vs opp hp -168, you lose, hp_diff: -436, avg_loss: 1.2208, Total reward: -43.850000000000044
round124 result: own hp -500 vs opp hp -228, you lose, hp_diff: -272, avg_loss: 1.1206, Total reward: -26.269999999999992
round125 result: own hp -768 vs opp hp -352, you lose, hp_diff: -416, avg_loss: 0.9906, Total reward: -29.430000000000007
round126 result: own hp -476 vs opp hp -274, you lose, hp_diff: -202, avg_loss: 1.0066, Total reward: -20.07999999999999
round127 result: own hp -712 vs opp hp -178, you lose, hp_diff: -534, avg_loss: 0.9968, Total reward: -52.110000000000014
round128 result: own hp -494 vs opp hp -462, you lose, hp_diff: -32, avg_loss: 1.0183, Total reward: -4.249999999999997
round129 result: own hp -561 vs opp hp -391, you lose, hp_diff: -170, avg_loss: 1.0612, Total reward: -16.829999999999995
round130 result: own hp -551 vs opp hp -470, you lose, hp_diff: -81, avg_loss: 1.0624, Total reward: -10.48
round131 result: own hp -496 vs opp hp -361, you lose, hp_diff: -135, avg_loss: 1.0233, Total reward: -13.760000000000018
round132 result: own hp -601 vs opp hp -255, you lose, hp_diff: -346, avg_loss: 1.0567, Total reward: -33.88000000000002
round133 result: own hp -555 vs opp hp -275, you lose, hp_diff: -280, avg_loss: 0.9620, Total reward: -28.260000000000016
round134 result: own hp -508 vs opp hp -214, you lose, hp_diff: -294, avg_loss: 1.0671, Total reward: -29.910000000000043
round135 result: own hp -485 vs opp hp -280, you lose, hp_diff: -205, avg_loss: 0.9874, Total reward: -19.339999999999993
round136 result: own hp -342 vs opp hp -295, you lose, hp_diff: -47, avg_loss: 0.9561, Total reward: -4.180000000000006
round137 result: own hp -838 vs opp hp -307, you lose, hp_diff: -531, avg_loss: 0.8389, Total reward: -55.84
round138 result: own hp -639 vs opp hp -152, you lose, hp_diff: -487, avg_loss: 0.8508, Total reward: -46.63000000000002
round139 result: own hp -548 vs opp hp -373, you lose, hp_diff: -175, avg_loss: 1.1339, Total reward: -17.14999999999992
round140 result: own hp -712 vs opp hp -425, you lose, hp_diff: -287, avg_loss: 0.9588, Total reward: -29.82000000000002
round141 result: own hp -473 vs opp hp -313, you lose, hp_diff: -160, avg_loss: 1.0100, Total reward: -14.970000000000002
round142 result: own hp -475 vs opp hp -247, you lose, hp_diff: -228, avg_loss: 0.9703, Total reward: -22.14
round143 result: own hp -812 vs opp hp -176, you lose, hp_diff: -636, avg_loss: 1.0475, Total reward: -63.81000000000003
round144 result: own hp -350 vs opp hp -175, you lose, hp_diff: -175, avg_loss: 1.0025, Total reward: -17.45
round145 result: own hp -407 vs opp hp -270, you lose, hp_diff: -137, avg_loss: 1.0112, Total reward: -11.389999999999999
round146 result: own hp -327 vs opp hp -227, you lose, hp_diff: -100, avg_loss: 0.9759, Total reward: -7.77
round147 result: own hp -595 vs opp hp -325, you lose, hp_diff: -270, avg_loss: 0.8881, Total reward: -27.18999999999999
round148 result: own hp -513 vs opp hp -384, you lose, hp_diff: -129, avg_loss: 0.8192, Total reward: -13.08
round149 result: own hp -404 vs opp hp -387, you lose, hp_diff: -17, avg_loss: 0.9209, Total reward: -0.480000000000002
round150 result: own hp -577 vs opp hp -265, you lose, hp_diff: -312, avg_loss: 0.9505, Total reward: -31.37000000000002
round151 result: own hp -421 vs opp hp -274, you lose, hp_diff: -147, avg_loss: 0.8983, Total reward: -12.609999999999998
round152 result: own hp -290 vs opp hp -290, you lose, hp_diff: 0, avg_loss: 0.8944, Total reward: -0.4300000000000024
round153 result: own hp -328 vs opp hp -239, you lose, hp_diff: -89, avg_loss: 0.8282, Total reward: -8.82
