round132 result: own hp -518 vs opp hp -538, you win, hp_diff: 20, avg_loss: 1.9280, Total reward: 4.670000000000003
round133 result: own hp -553 vs opp hp -464, you lose, hp_diff: -89, avg_loss: 1.6883, Total reward: -9.019999999999996
round134 result: own hp -669 vs opp hp -330, you lose, hp_diff: -339, avg_loss: 1.6875, Total reward: -34.22000000000003
round135 result: own hp -641 vs opp hp -398, you lose, hp_diff: -243, avg_loss: 1.3293, Total reward: -22.62000000000003
round136 result: own hp -850 vs opp hp -383, you lose, hp_diff: -467, avg_loss: 4.0588, Total reward: -46.74000000000003
round137 result: own hp -530 vs opp hp -462, you lose, hp_diff: -68, avg_loss: 1.4752, Total reward: -8.239999999999995
round138 result: own hp -507 vs opp hp -478, you lose, hp_diff: -29, avg_loss: 1.6229, Total reward: -4.3399999999999945
round139 result: own hp -560 vs opp hp -455, you lose, hp_diff: -105, avg_loss: 1.7218, Total reward: -10.72
round140 result: own hp -791 vs opp hp -525, you lose, hp_diff: -266, avg_loss: 2.8447, Total reward: -26.270000000000017
round141 result: own hp -541 vs opp hp -436, you lose, hp_diff: -105, avg_loss: 1.1880, Total reward: -13.319999999999995
round142 result: own hp -572 vs opp hp -599, you win, hp_diff: 27, avg_loss: 2.1655, Total reward: 1.3899999999999606
round143 result: own hp -405 vs opp hp -513, you win, hp_diff: 108, avg_loss: 1.1542, Total reward: 11.62
round144 result: own hp -572 vs opp hp -334, you lose, hp_diff: -238, avg_loss: 1.7970, Total reward: -24.06000000000004
round145 result: own hp -658 vs opp hp -395, you lose, hp_diff: -263, avg_loss: 2.2915, Total reward: -26.480000000000004
round146 result: own hp -896 vs opp hp -527, you lose, hp_diff: -369, avg_loss: 4.0122, Total reward: -25.320000000000043
round147 result: own hp -515 vs opp hp -355, you lose, hp_diff: -160, avg_loss: 1.3326, Total reward: -16.380000000000003
round148 result: own hp -622 vs opp hp -330, you lose, hp_diff: -292, avg_loss: 1.6057, Total reward: -29.82999999999999
round149 result: own hp -842 vs opp hp -465, you lose, hp_diff: -377, avg_loss: 2.5964, Total reward: -37.82
round150 result: own hp -592 vs opp hp -450, you lose, hp_diff: -142, avg_loss: 1.4379, Total reward: -13.089999999999995
round151 result: own hp -716 vs opp hp -500, you lose, hp_diff: -216, avg_loss: 2.7857, Total reward: -21.529999999999994
round152 result: own hp -561 vs opp hp -310, you lose, hp_diff: -251, avg_loss: 1.2555, Total reward: -24.910000000000004
round153 result: own hp -567 vs opp hp -319, you lose, hp_diff: -248, avg_loss: 1.1303, Total reward: -24.75
round154 result: own hp -368 vs opp hp -352, you lose, hp_diff: -16, avg_loss: 0.4517, Total reward: -0.4499999999999982
round155 result: own hp -590 vs opp hp -530, you lose, hp_diff: -60, avg_loss: 1.6017, Total reward: -9.350000000000016
round156 result: own hp -481 vs opp hp -513, you win, hp_diff: 32, avg_loss: 1.3415, Total reward: 2.770000000000014
round157 result: own hp -533 vs opp hp -473, you lose, hp_diff: -60, avg_loss: 1.1556, Total reward: -5.37
round158 result: own hp -509 vs opp hp -480, you lose, hp_diff: -29, avg_loss: 1.2857, Total reward: -2.1100000000000003
round159 result: own hp -520 vs opp hp -368, you lose, hp_diff: -152, avg_loss: 1.0878, Total reward: -14.08
round160 result: own hp -542 vs opp hp -248, you lose, hp_diff: -294, avg_loss: 1.5672, Total reward: -29.589999999999996
round161 result: own hp -552 vs opp hp -357, you lose, hp_diff: -195, avg_loss: 1.1048, Total reward: -22.140000000000008
round162 result: own hp -472 vs opp hp -429, you lose, hp_diff: -43, avg_loss: 0.8242, Total reward: -5.129999999999992
round163 result: own hp -712 vs opp hp -443, you lose, hp_diff: -269, avg_loss: 1.5062, Total reward: -15.349999999999993
round164 result: own hp -564 vs opp hp -685, you win, hp_diff: 121, avg_loss: 2.3037, Total reward: 9.220000000000004
round165 result: own hp -495 vs opp hp -425, you lose, hp_diff: -70, avg_loss: 0.9819, Total reward: -7.229999999999994
round166 result: own hp -646 vs opp hp -443, you lose, hp_diff: -203, avg_loss: 2.1666, Total reward: -23.220000000000017
round167 result: own hp -591 vs opp hp -404, you lose, hp_diff: -187, avg_loss: 1.3647, Total reward: -21.3
round168 result: own hp -595 vs opp hp -332, you lose, hp_diff: -263, avg_loss: 1.5774, Total reward: -29.110000000000003
round169 result: own hp -522 vs opp hp -474, you lose, hp_diff: -48, avg_loss: 1.3954, Total reward: -5.229999999999995
round170 result: own hp -454 vs opp hp -669, you win, hp_diff: 215, avg_loss: 2.0269, Total reward: 21.039999999999985
round171 result: own hp -646 vs opp hp -440, you lose, hp_diff: -206, avg_loss: 2.0834, Total reward: -23.33
round172 result: own hp -394 vs opp hp -420, you win, hp_diff: 26, avg_loss: 0.9066, Total reward: 2.650000000000003
round173 result: own hp -442 vs opp hp -190, you lose, hp_diff: -252, avg_loss: 0.9006, Total reward: -25.010000000000023
round174 result: own hp -664 vs opp hp -510, you lose, hp_diff: -154, avg_loss: 3.5284, Total reward: -14.919999999999998
round175 result: own hp -460 vs opp hp -420, you lose, hp_diff: -40, avg_loss: 1.0844, Total reward: -6.909999999999995
round176 result: own hp -629 vs opp hp -482, you lose, hp_diff: -147, avg_loss: 2.5073, Total reward: -15.010000000000021
