round251 result: own hp -498 vs opp hp -458, you lose, hp_diff: -40, Total reward: -5.119999999999996
round252 result: own hp -267 vs opp hp -203, you lose, hp_diff: -64, Total reward: -6.729999999999995
round253 result: own hp -468 vs opp hp -303, you lose, hp_diff: -165, Total reward: -19.969999999999995
round254 result: own hp -322 vs opp hp -235, you lose, hp_diff: -87, Total reward: -9.459999999999981
round255 result: own hp -471 vs opp hp -351, you lose, hp_diff: -120, Total reward: -12.560000000000011
round256 result: own hp -592 vs opp hp -324, you lose, hp_diff: -268, Total reward: -26.709999999999994
round257 result: own hp -428 vs opp hp -235, you lose, hp_diff: -193, Total reward: -19.080000000000005
round258 result: own hp -285 vs opp hp -338, you win, hp_diff: 53, Total reward: 2.920000000000001
round259 result: own hp -339 vs opp hp -411, you win, hp_diff: 72, Total reward: 4.310000000000004
round260 result: own hp -557 vs opp hp -296, you lose, hp_diff: -261, Total reward: -25.84999999999999
round261 result: own hp -586 vs opp hp -214, you lose, hp_diff: -372, Total reward: -37.26
round262 result: own hp -615 vs opp hp -294, you lose, hp_diff: -321, Total reward: -32.160000000000025
round263 result: own hp -235 vs opp hp -268, you win, hp_diff: 33, Total reward: 2.940000000000002
round264 result: own hp -594 vs opp hp -374, you lose, hp_diff: -220, Total reward: -24.46000000000005
round265 result: own hp -307 vs opp hp -299, you lose, hp_diff: -8, Total reward: -1.459999999999987
round266 result: own hp -533 vs opp hp -280, you lose, hp_diff: -253, Total reward: -26.080000000000002
round267 result: own hp -586 vs opp hp -315, you lose, hp_diff: -271, Total reward: -27.240000000000045
round268 result: own hp -454 vs opp hp -255, you lose, hp_diff: -199, Total reward: -20.26999999999999
round269 result: own hp -391 vs opp hp -258, you lose, hp_diff: -133, Total reward: -12.719999999999992
round270 result: own hp -639 vs opp hp -380, you lose, hp_diff: -259, Total reward: -28.770000000000028
round271 result: own hp -425 vs opp hp -300, you lose, hp_diff: -125, Total reward: -12.030000000000003
round272 result: own hp -338 vs opp hp -218, you lose, hp_diff: -120, Total reward: -12.199999999999994
round273 result: own hp -464 vs opp hp -380, you lose, hp_diff: -84, Total reward: -8.669999999999998
round274 result: own hp -325 vs opp hp -163, you lose, hp_diff: -162, Total reward: -15.489999999999998
round275 result: own hp -729 vs opp hp -258, you lose, hp_diff: -471, Total reward: -47.08
round276 result: own hp -323 vs opp hp -308, you lose, hp_diff: -15, Total reward: -2.4900000000000047
round277 result: own hp -416 vs opp hp -266, you lose, hp_diff: -150, Total reward: -15.720000000000004
